restname,address,opening hours,contact,rating,conclusion 
Tan Soon Mui Beancurd,"Serangoon Way Market and FC Stall 41 , Singapore","
Opening hours:
8:00AM to 8:00PM
Closed:
Mondays",,,I am quite sure it is the best bowl of bean curd for 50 cents or even for $1 for that matter.  The texture of the Chin Chow is unique but I would like it better if it had a more herbal taste.
,,,,,
Clementi Brothers Rojak (Branch),"Riverside Food Centre Stall 21, Singapore","
Opening hours:
12:00PM to 10:00PM
Closed:
Mondays",91853737,,
,,,,,It is said that the English speaking world is divided into those who have read the Lord of the Rings and those who are going to read it. Do you think we might be able to say the same of Chatterbox Chicken Rice?
,,,,,Video Clip of this Recipe
Yong Huat,"125/127 East Coast Road  Jn of Joo Chiat Rd, Singapore","
Opening hours:
Daily: 8:00AM to 8:00PM",96301370,,Read my previous post on
Gen Shu Mei Shi She Jia,"Toa Payoh Lor 4  Blk 74 Food Centre #01-03, Singapore","
Opening hours:
(Not available)
Closed:
Mondays",,,
Chako,"134 West Coast Way  Hong Leong Garden Shopping Centre , Singapore","
Opening hours:
Mon-Fri: 12:15PM to 2:30PM
6:30PM to 10:30PM
Sat-Sun: 6:30PM to 10:30PM",6776 3919,,
Rubiah Muslim Food,"Whampoa Food Centre  Stall 34 , Singapore","
Opening hours:
10:00AM to 6:00PM
Closed:
Sundays",,,
Nan Xiang Chicken Rice,"Left hand side facing the Carpark Whampoa Food Centre, Singapore","
Opening hours:
(Not available)",,,
Ming Yun Fried Hokkien Mee,"137 Tampines Street 11 #01-33, Singapore","
Opening hours:
6:00AM to 2:00PM
Closed:
Mon-Wed",9798 0133,,
,,,,,"But the point I am making is this.  Many people might say that Penang food beats Singapore’s hands down, others might say that Penang food is overrated.  Both are correct depending on what they managed to try.  So the conclusion is this: Penang is a food paradize and so is Singapore.  Isn’t it wonderful that there is so much great stuff just waiting for you to try?"
Bak Kee Satay Bee Hoon,"Redhill Food Centre 85 Redhill Lane Singapore 150085  #01-40 , Singapore","
Opening hours:
12:00PM to 8:00PM
Closed:
Wednesday",,,Thanks to Sen for the video upload!
JB Ah Meng,"New Good Place Eating House 2 Geylang Lor 23 (Geylang Road side), Singapore","
Opening hours:
Daily: 5:00PM to 3:00AM",67412418,,
Lau Sim Shredded Chicken Noodle,"Tai Thong Coffeeshop 1 Tai Thong Crescent  Singapore 347835, Singapore","
Opening hours:
7:30AM to 1:30PM
Closed:
Mondays",96663183,,
Wang Ji Fried Taukwa,"Redhill Food Centre , Singapore","
Opening hours:
10:00AM to 6:00PM
Closed:
Monday",,,
,,,,,
Peramakan,"Level 3, Keppel Club, 10 Bukit Chermin Road Singapore 109918, Singapore","
Opening hours:
(Not available)",63772829,,
Alex’s Eating House,"87 Beach Road #01-01 Chye Sing Building  Singapore 189695, Singapore","
Opening hours:
(Not available)",63340268,,
Tai Shek Hai House of Bamboo Noodles,"283/285 Joo Chiat Road Jn of Koon Seng and Joo Chiat Road  Singapore 427539 , Singapore","
Opening hours:
Daily: 10:30AM to 11:00PM",63455095,,"So, are you a Mullet connoisseur or do you shun Mullet like moi?"
Wah Yen Eating House,"Blk 24 Sin Ming Road #01-01 Singapore 570023, Singapore","
Opening hours:
7:30AM to 12:30AM",,,
Riyadh Muslim Food,"Blk 32, Defu Lane 10 Stall 12, Soon Soon Lai Eating House, Singapore","
Opening hours:
6:30AM to 7:00PM
Closed:
Last Wed of each month",,,
,,,,,"So there you go and surprise, surprise, its Singapore 2 to Penang 1 at the moment.  Guess at the moment, the grass looks greener on our side."
Cugini,"87 Club Street #01-01 Singapore 069455, Singapore","
Opening hours:
(Not available)",,,"This restaurant was recommended by our reader, Rachelle who arranged for our menu tasting"
Arnold’s Fried Chicken,"City Plaza #02-99/101 810 Geylang Road Singapore 409286, Singapore","
Opening hours:
(Not available)",67462372,,
Joo Heng Mushroom Minced Pork Mee,"AMK Blk 628 Temporary Market , Singapore","
Opening hours:
7:00AM to 2:00PM",,,
Cugini,"87 Club Street #01-01 Singapore 069455, Singapore","
Opening hours:
(Not available)",68369541,,
,,,,,
Simon Road Hokkien Mee,"Nam Heng Restaurant Corner of Simon and Upper Serangoon Road, Singapore","
Opening hours:
11:00AM to 10:00PM
Closed:
Monday",98202888,,Thanks to Sen for the video link!
Oyster Omelette,"965 Upper Serangoon Road Mee Sek Coffeeshop Singapore 534721, Singapore","
Opening hours:
(Not available)",,,Thanks to Sen for the video link!
Astons Prime,"467 Joo Chiat Road, Singapore","
Opening hours:
(Not available)",63442447 for reservations,,This address is closed.
,,,,,"That wraps up our first Penang Night Spots trail!  If you have been to any of the stalls listed, do let us know of your experience!"
,,,,,So are you a fan of Penang Laksa?  I have just been told by a Penangite that the one I featured here is famous but the locals actually to go a better one near the Airport as they feel that the one at Ayer Itam is not as good as before.  The Rojak is definitely a winner but the Chendol I am not so sure until I get to eat the famous ones in Malacca.
,,,,,
Hua Fong Kee Roasted Duck,"Blk 116, Toa Payoh Lor 2 #01-62, Singapore","
Opening hours:
8:00AM to 8:00PM",96658595,,
,,,,,
Spice Peranakan,"20 Biopolis Way Centros Building #01-01 Singapore 138668, Singapore","
Opening hours:
Mon-Thurs: 9:00AM to 9:00PM
Fri-Sat: 10:00AM to 10:00PM
Closed:
Sunday / Public Holidays",6738 8887,,
Hong Mao Wanton Mee,"182 Joo Chiat Road, Singapore","
Opening hours:
7:00AM to 5:00PM
Closed:
Mondays",98759659,,
Restaurant Ember,"50 Keong Saik Road,  Singapore 089154, Singapore","
Opening hours:
(Not available)
Closed:
Sundays",63471928,,"It’s no wonder that Restaurant Ember has been around for six years and still going strong.  The atmosphere is pretty informal and the waiting staff were friendly and personable.  But I guess it is the excellent food that keeps their customers coming back for more.  I seldom use the word “Shiok” for these sort of fine dining style food, but I must say that several of the dishes here were quite “Shiok”.  My only grouse was that even though I told them that it was our anniversary, the only thing that I got at the end was a “Happy Anniversary!”.  Would have been great if there was a little surprise item to mark the occasion, like a candle on the chocolate cake perhaps?"
The Shepherd’s Pie,"348 Bedok Road (Simpang Bedok) #02-01 Bedok Market Place  Singapore 469560 , Singapore","
Opening hours:
(Not available)",67890707,,
Simpang Kitchen,"Simpang Bedok Food Centre #02-03, Singapore","
Opening hours:
12:00PM to 3:00PM
6:00PM to 10:00PM
Closed:
Alt Mondays",96695293,,
Barcook Bakery,"531 Upper Cross Street #01-54 Hong Lim Complex Singapore 050531, Singapore","
Opening hours:
Mon-Fri: 8:00AM to 6:00PM
Sat-Sun: 8:00AM to 4:00PM",65336588,,
Cantonese Delights,"Hong Lim Food Centre  #02-03, Singapore","
Opening hours:
8:30AM to 3:00PM
Closed:
Alt Mon and PH",91051904,,
Tian Tian Lai (Come Daily) Fried Hokkien Prawn Mee,"Blk 127, Toa Payoh Lor 1 #02-27 Singapore 310127, Singapore","
Opening hours:
9:30AM to 6:00PM
Closed:
Mondays (how to come daily?)",62518542/ 96717071,,
Mr Prata,"26, Evans Road Singapore 259367, Singapore","
Opening hours:
(Not available)",62356993,,
Wow Wow West,"ABC Brickworks Food Centre  #01-133, Singapore","
Opening hours:
10:30AM to 9:00PM
Closed:
Sundays",,,
Fatty Cheong,"ABC Brickworks Food Centre 6 Jln Bukit Merah #01-120 (near POSB ATM), Singapore","
Opening hours:
11:00AM to 8:30PM
Closed:
Thursdays","98824849, 94281983",,
Yellow Light Thai Food,"95 East Coast Road  Singapore 428793 , Singapore","
Opening hours:
11:30AM to 2:30PM
6:00PM to 10:00PM
Closed:
Mondays",6345 7324,,
Man Ji Handmade Pau,"Blk 327, Hougang Ave 5, Singapore","
Opening hours:
Daily: 6:00AM to 1:00PM",98359221,,
Lim Joo Hin Eating House,"715/717, Havelock Road Singapore 169643, Singapore","
Opening hours:
11:00AM to 5:00AM",62729871,,
Tai Shek Hai House of Bamboo Noodles,"283/285 Joo Chiat Road Jn of Koon Seng and Joo Chiat Road  Singapore 427539 , Singapore","
Opening hours:
10:30AM to 11:00PM",63455095,,
Cafe de Hong Kong,"586 Balestier Road #01-01 Eastpac Building Singapore 329898 , Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 12:00AM
Closed:
Mon (except on PH)",62553865,,
Yi Shi Jia Wanton Mee,"Stall 57, Kovan Food Centre Blk 209 Hougang St 21, Singapore","
Opening hours:
7:30AM to 8:00PM
Closed:
Monday",92957134,,
Delicious Muffins,"91 Bencoolen Street #01-51, Sunshine Plaza Singapore 189652 , Singapore","
Opening hours:
11:30AM to 8:00PM
Closed:
Closed on 8th, 18th and 28th of the month",96361503 Wendy,,
Yakiniku Daidomon,"101 Thomson Road #01-14/15 United Square Shopping Mall, Singapore","
Opening hours:
(Not available)",,,"Buffet $43++ for weekdays
$48++ for weekends"
Meng Kee Char Kway Teow,"Blk 22, Havelock Road  Beo Crescent , Singapore","
Opening hours:
Mon-Sat: 10:30AM to 7:00PM
Sundays: 10:30AM to 4:00PM",,,Link provided by Sen
Two Chefs Eating Place,"Blk 116 Commonwealth Crescent, #01-129 Singapore 140116, Singapore","
Opening hours:
11:30AM to 2:30PM
5:00PM to 11:30PM
Closed:
Monday (Lunch) closed","64725361, 94379712",,
The Top Table,"Blk 31 Temasek Polytechnic 21 Tampines Ave 1, Singapore 529757 , Singapore","
Opening hours:
Mon-Fri: 11:30AM to 2:00PM",67806369,,"



2009"
Tonkatsu Tenshin,"2-8-1 Mita, Meguro-ku Tokyo, Japan, Japan","
Opening hours:
Lunch: 11:30AM to 3:00PM
Dinner: 5:30PM to 9:30PM
Closed:
Wednesdays",,,"Here is the
that recommended it"
Seng Hong Coffeeshop,"Blk 58 Lengkok Bahru , Singapore","
Opening hours:
6:00AM to 6:00PM
Closed:
Alt Sundays",,,
,,,,,"Well, been there, done that.  Although Matsuzaka was not as mind blowing as I have expected it to be, I still wouldn’t have done anything differently.  However, if I were to do it again, I would certainly consider just ordering the Matsu Set.  Then again……..maybe not."
Fatty Ox Hong Kong Roast Duck,"10 North Bridge Road (Just After North Bridge Road FC) , Singapore","
Opening hours:
11:00AM to 9:00PM
Closed:
Alt Wed",96385345,,
Ristorante De Parma,"14-B Kensington Park Road  Serangoon Garden Estate Singapore 557265 , Singapore","
Opening hours:
(Not available)
Closed:
Wednesdays","62801096, 97633147",,
Seng Kee Bak Chor Mee,"Serangoon Gardens Food Centre Stall 4, Singapore","
Opening hours:
7:30AM to 3:00PM
Closed:
Monday",84390434,,"

"
,,,,,"Now, in case you are under the mistaken belief that every Japanese likes Sushi, may I say that I know of some who also can’t understand what the big fuss over raw fish is about.  From this experience, I can say however, that the Sushi in Japan is really very fresh, and the difference between what you get there and here is quite apparent even for me.  But at the end of the day, if you are planning a surprise birthday treat for me,  please don’t think you are doing me a great favour by inviting me to the most expensive Sushi restaurant in town, unless they serve Matsuzaka beef as well."
Soon Soon Huat 1A Crispy Curry Puff,"220 EAST COAST ROAD, , Singapore 428917","
Opening hours:
7:30AM to 8:30PM
Closed:
Mondays",68415618,,
Hand in Hand Beijing Restaurant,"141-143 Jalan Besar. Between Hindoo and Veerasamy Roads , Singapore","
Opening hours:
11:00AM to 12:00AM",6297 1398,,
Diakokuya,"1-38-10 Asakusa, Taito-ku, Japan","
Opening hours:
Weekdays: 11:10AM to 8:30PM
Sat & PH: 11:10AM to 9:00PM",,,More info and map
Sajis Indian Food,"Blk 262 Waterloo St #01-29 Nan Tai Eating House, Singapore","
Opening hours:
9:00AM to 7:00PM
Closed:
Last Monday of the month",Sabeek 81395647,,
Ah Hor Teochew Kway Teow Mee,"12 Verdun Road Bet Sam Leong and Syed Alwi Roads, Singapore","
Opening hours:
7:00AM to 4:00PM
Closed:
Wednesday",81274249 Mr Liang,,Recommended by ice. Read her review
Meng Kee Foo Chow Fish Balls,"Old Airport Road Food Centre Stall 103 (Facing Main Road) , Singapore","
Opening hours:
Daily: 7:00AM to 11:00PM
Closed:
Sundays",,,
Siang Hee Restaurant,"Serangoon Gardens Food Centre, Stall 20. 49A Serangoon Garden Way. Singapore 555945, Singapore","
Opening hours:
11:00AM to 10:30PM
Closed:
Once every fortnight on Mondays",97364067 Ah Yoke,,"Check out the review from the advance party led by
Check out the food across the street at
There’s several good eats at the
too!"
Killiney Kopitiam,"67 Killiney Road, Singapore 239525","
Opening hours:
MonWedSat: 6:00AM to 11:00PM
TueWedSun: 6:00AM to 6:00PM
Closed:
Thursdays and Fridays",6734 9648 / 6734 3910,,"Check out the
where you can get a great cup of kopi
See where else you can get traditional
Remember to
for the dialect group you are in!"
Guan Kee,"Changi Village Food Centre  #01-02 , Singapore","
Opening hours:
11:00AM to 11:00PM
Closed:
Mondays",,,"Now, I wonder if there is really any point in steaming your own Carrot Cake if you can’t really taste the difference in the white version.  It’s the black version here that is really good, but that has more to do with the frying technique and the recipe behind the sweet sauce.
So tell us, does your favourite Carrot Cake stall steam their own Carrot Cake?  And do you think it makes a big difference?"
Changi Teochew Kitchen,"Blk 5 Changi Village Road #01-2–1 Singapore 500005, Singapore","
Opening hours:
(Not available)",65465482,,
Heng Carrot Cake,"Newton Food Centre  Stall 28 , Singapore","
Opening hours:
(Not available)",,,
Tomo Izakaya,"3A River Valley Road (Clarke Quay)  #01-04 (opp bridge) Singapore 179020, Singapore","
Opening hours:
(Not available)",63330100,,
Thye Hong,"Newton Food Centre Stall 58, Singapore","
Opening hours:
5:00PM to 1:00AM",96181221,,
Bee Heng Newton Food Centre,"Stall 12 (Facing Car Park) , Singapore","
Opening hours:
12:00PM to 12:00AM
Closed:
Thursday",,,
Yuet Loy,"#02-151 Smith Street Food Centre, Singapore","
Opening hours:
(Not available)",,,
Yang Zhou Fried Hokkien Mee,"BLK 127 Bukit Merah Lane 1., Singapore","
Opening hours:
10:00AM to 8:00PM
Closed:
Fridays",62730429 Mr Lim / 97400653,,
Swee Guan Hokkien Mee,"Geylang Lor 29 (Geylang Side) , Singapore","
Opening hours:
Daily: 5:00PM to 11:00PM",,,"Try
next door
Check out the other stalls in
Check out the other famous"
Kwong Satay,"Geylang Lor 29 (Geylang side) , Singapore","
Opening hours:
5:00PM to 11:00PM
Closed:
Alt Wednesdays",6565 0002 Judy,,
No Name Hainanese Curry Rice,"Blk 40 Beo Crescent , Singapore","
Opening hours:
6:30AM to 3:00PM
Closed:
Wednesday",,,
Hey Hey Hotpot Restaurant,"1 Selegie Road, #B1-20, Paradiz Centre  Singapore 188307, Singapore","
Opening hours:
11:30AM to 2:30PM
6:30PM to 11:00PM",63335166,,"Lunch Buffet $18++
Dinner Buffet Mon-Thur $27++
Fri-Sun $29++
Top Up for soups starting from $5 per pot"
Ice Queen Ice Cream,"Golden Mile Food Centre, #01-86, Singapore","
Opening hours:
(Not available)
Closed:
Mondays",,,"I am amazed that the place has quite a few stalls manned by young Hawkerpreneurs trying to break into the food business. Remember the
and
which I blogged previously? They are all here, as well as some other new stalls selling “Ang Moh” food that I will blog about later. Yes, the Hawker centres are an cost effective way for anyone to create a brand which is relatively low risk. And the irony is that when you actually sell stuff that usually belong in a shopping centre, you actually attract more media attention.
"
